CustomerId	Surname	Geography	Gender	Age
15634602	Hargrave	France	Female	42
15647311	Hill	Spain	Female	41
15619304	Onio	France	Female	42
15701354	Boni	France	Female	39
15737888	Mitchell	Spain	Female	43
15574012	Chu	Spain	Male	44
15592531	Bartlett	France	Male	50
15656148	Obinna	Germany	Female	29
15792365	He	France	Male	44
15592389	H?	France	Male	27
15767821	Bearce	France	Male	31
15737173	Andrews	Spain	Male	24
15632264	Kay	France	Female	34
15691483	Chin	France	Female	25
15600882	Scott	Spain	Female	35
15643966	Goforth	Germany	Male	45
15737452	Romeo	Germany	Male	58
15788218	Henderson	Spain	Female	24
15661507	Muldrow	Spain	Male	45
15568982	Hao	France	Female	24
15577657	McDonald	France	Male	41
15597945	Dellucci	Spain	Female	32
15699309	Gerasimov	Spain	Female	38
15725737	Mosman	France	Male	46
15625047	Yen	France	Female	38
15738191	Maclean	France	Male	25
15736816	Young	Germany	Male	36
15700772	Nebechi	France	Male	44
15728693	McWilliams	Germany	Female	43
15656300	Lucciano	France	Male	29
15589475	Azikiwe	Spain	Female	39
15706552	Odinakachukwu	France	Male	36
15750181	Sanderson	Germany	Male	41
15659428	Maggard	Spain	Female	42
15732963	Clements	Spain	Female	29
15794171	Lombardo	France	Female	45
15788448	Watson	Spain	Male	31
15729599	Lorenzo	Spain	Male	33
15717426	Armstrong	France	Male	36
15585768	Cameron	Germany	Male	41
15619360	Hsiao	Spain	Male	40
15738148	Clarke	France	Female	51
15687946	Osborne	France	Female	61
15755196	Lavine	France	Female	49
15684171	Bianchi	Spain	Female	61
15754849	Tyler	Germany	Female	32
15602280	Martin	Germany	Female	27
15771573	Okagbue	Germany	Female	39
15766205	Yin	Germany	Male	38
15771873	Buccho	Germany	Female	37
15616550	Chidiebele	Germany	Male	44
15768193	Trevisani	Germany	Male	36
15683553	O'Brien	France	Female	33
15702298	Parkhill	Germany	Male	41
15569590	Yoo	Germany	Male	42
15760861	Phillipps	France	Male	43
15630053	Tsao	France	Male	45
15647091	Endrizzi	Germany	Male	19
15623944	T'ien	Spain	Female	66
15804771	Velazquez	France	Male	51
15651280	Hunter	Germany	Male	35
15773469	Clark	Germany	Female	27
15702014	Jeffrey	Spain	Male	33
15751208	Pirozzi	Spain	Male	56
15592461	Jackson	Germany	Male	26
15789484	Hammond	Germany	Female	36
15696061	Brownless	Germany	Female	34
15641582	Chibugo	Germany	Male	43
15638424	Glauert	Germany	Female	35
15755648	Pisano	France	Female	21
15703793	Konovalova	Germany	Male	58
15620344	McKee	France	Male	29
15812518	Palermo	Spain	Female	37
15779052	Ballard	Germany	Female	25
15770811	Wallace	France	Male	36
15780961	Cavenagh	France	Female	21
15614049	Hu	France	Male	55
15662085	Read	France	Female	32
15575185	Bushell	Spain	Male	33
15803136	Postle	Germany	Female	41
15706021	Buley	France	Female	34
15663706	Leonard	France	Female	32
15641732	Mills	France	Female	36
15701164	Onyeorulu	France	Female	34
15738751	Beit	France	Female	46
15805254	Ndukaku	Spain	Female	75
15762418	Gant	Spain	Male	22
15625759	Rowley	France	Male	30
15622897	Sharpe	France	Female	46
15767954	Osborne	Germany	Female	28
15757535	Heap	Spain	Female	44
15731511	Ritchie	France	Male	45
15809248	Cole	France	Female	36
15640635	Capon	France	Male	29
15676966	Capon	Spain	Male	42
15699461	Fiorentini	Spain	Male	35
15738721	Graham	Spain	Male	41
15693683	Yuille	Germany	Male	29
15604348	Allard	Spain	Male	22
15633059	Fanucci	France	Male	34
15808582	Fu	France	Female	40
15743192	Hung	France	Female	44
15580146	Hung	France	Male	31
15776605	Bradley	Spain	Male	36
15804919	Dunbabin	Spain	Female	65
15613854	Mauldon	Spain	Female	46
15599195	Stiger	Germany	Male	32
15812878	Parsons	Germany	Female	36
15602312	Walkom	Spain	Male	33
15744689	T'ang	Germany	Male	35
15803526	Eremenko	Germany	Male	30
15665790	Rowntree	Germany	Male	39
15715951	Thorpe	France	Male	42
15591100	Chiemela	Spain	Male	36
15609618	Fanucci	Germany	Male	28
15675522	Ko	Germany	Female	30
15705512	Welch	Germany	Female	37
15698028	Duncan	France	Female	41
15661670	Chidozie	Germany	Female	31
15600781	Wu	Germany	Male	34
15682472	Culbreth	France	Male	34
15580203	Kennedy	Spain	Male	39
15690673	Cameron	France	Female	39
15760085	Calabresi	Germany	Female	48
15779659	Zetticci	France	Female	28
15627360	Fuller	France	Male	42
15671137	MacDonald	France	Female	52
15782688	Piccio	Germany	Male	56
15575492	Kennedy	France	Female	41
15591607	Fernie	France	Male	24
15740404	He	France	Female	34
15718369	Kaodilinakachukwu	Germany	Female	33
15677871	Cocci	France	Male	38
15642004	Alekseeva	France	Male	25
15712543	Chinweike	Germany	Male	39
15584518	Arthur	Germany	Female	50
15802381	Li	Germany	Female	34
15610156	Ma	France	Male	40
15594408	Chia	Spain	Female	48
15640905	Vasin	Spain	Female	35
15698932	Groves	Germany	Male	44
15724944	Tien	France	Male	34
15628145	Forwood	France	Female	43
15713483	Greeves	Spain	Male	52
15612350	Taylor	France	Female	31
15800703	Madukwe	Spain	Female	21
15705707	Bennelong	Spain	Female	29
15754105	Olisanugo	France	Male	37
15703264	Chukwufumnanya	France	Male	44
15794413	Harris	France	Male	32
15650237	Morgan	Spain	Female	32
15759618	Alexeeva	France	Female	48
15811589	Metcalfe	Spain	Male	42
15689044	Humphries	France	Male	37
15709368	Milne	France	Female	43
15679145	Chou	Spain	Male	57
15655007	Li	France	Female	33
15623595	Clayton	Spain	Female	28
15589975	Maclean	France	Female	73
15804017	Chigolum	Germany	Female	33
15692132	Wilkinson	Spain	Female	22
15641122	Wei	France	Male	30
15630910	Treacy	France	Female	49
15680772	Hu	Spain	Female	36
15658929	Taverner	Spain	Male	29
15585388	Sherman	Germany	Male	31
15724623	Taubman	Germany	Female	24
15588537	Robinson	Spain	Female	41
15574692	Pinto	Spain	Female	39
15611325	Wood	Germany	Male	24
15587562	Hawkins	France	Female	29
15613172	Sun	Germany	Male	27
